# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
0.506, 4.02,  0.474, 0.833, 6.79,  0.598, 0.257
0.394, 3.564, 0.202, 1.003, 7.247, 0.692, 0.301
0.269, 4.399, 0.212, 0.613, 3.343, 0.733, 0.059
0.123, 4.881, 0.155, 0.383, 2.125, 0.848, 0.481
0.202, 4.539, 0.484, 0.4, 2.377, 0.746, 0.347
0.385, 4.045, 0.312, 0.915, 7.194, 0.632, 0.404
0.263, 3.616, 0.368, 0.69, 3.714, 0.759, 0.42
0.467, 3.351, 0.269, 1.061, 8.408, 0.645, 0.458
0.432, 3.451, 0.299, 0.941, 7.025, 0.664, 0.277
0.449, 3.582, 0.486, 0.894, 6.117, 0.668, 0.185
0.341, 3.582, 0.35, 0.818, 4.609, 0.693, 0.377
0.251, 3.805, 0.239, 0.857, 6.497, 0.722, 0.12
0.247, 3.732, 0.302, 0.807, 5.644, 0.718, 0.196
0.531, 3.198, 0.241, 0.858, 7.884, 0.625, 0.434
0.467, 4.835, 0.658, 0.412, 2.328, 0.645, 0.476
0.116, 5.478, 0.339, 0.328, 1.771, 0.86, 0.331
0.372, 3.317, 0.416, 0.962, 8.166, 0.658, 0.333
1.839, 3.307, 0.868, 0.802, 8.097, 0.309, 0.187
0.36, 3.63, 0.153, 0.816, 6.185, 0.707, 0.184
0.75, 4.22, 0.671, 0.844, 9.85, 0.505, 0.038
0.281, 5.535, 0.288, 0.389, 2.108, 0.751, 0.169
0.411, 3.985, 0.308, 0.908, 6.205, 0.679, 0.46
0.279, 4.267, 0.11, 0.657, 5.103, 0.735, 0.067
0.322, 4.091, 0.387, 0.617, 3.724, 0.718, 0.077
0.594, 3.213, 0.629, 1.033, 9.144, 0.565, 0.037
0.325, 3.738, 0.243, 0.462, 3.627, 0.713, 0.423
0.381, 3.59, 0.553, 0.718, 3.607, 0.704, 0.336
0.87, 4.666, 0.607, 0.839, 8.746, 0.473, 0.06
0.868, 4.431, 0.664, 0.936, 9.912, 0.456, 0.391
0.854, 4.451, 0.613, 0.909, 9.831, 0.46, 0.002
0.462, 4.508, 0.564, 0.449, 2.262, 0.668, 0.207
1.525, 4.221, 0.777, 0.856, 8.458, 0.342, 0.398
0.625, 4.177, 0.585, 0.958, 8.684, 0.548, 0.243
0.313, 3.266, 0.241, 0.904, 4.344, 0.763, 0.324
0.424, 4.364, 0.419, 0.789, 7.257, 0.622, 0.016
0.755, 4.588, 0.65, 0.819, 6.881, 0.495, 0.154
0.297, 3.438, 0.327, 0.814, 4.555, 0.724, 0.43
0.621, 4.371, 0.525, 0.85, 8.408, 0.528, 0.365
0.86, 4.413, 0.775, 0.784, 8.013, 0.454, 0.122
0.171, 4.877, 0.24, 0.31, 2.374, 0.803, 0.473
1.23, 4.473, 0.936, 0.936, 9.778, 0.369, 0.168
0.627, 3.454, 0.469, 0.946, 8.264, 0.564, 0.327
0.341, 4.191, 0.608, 0.723, 4.012, 0.685, 0.136
0.507, 4.74, 0.48, 0.793, 5.718, 0.567, 0.102
0.307, 3.829, 0.253, 0.583, 3.999, 0.714, 0.452
0.467, 4.061, 0.437, 0.936, 7.022, 0.602, 0.163
0.915, 3.769, 0.849, 0.83, 5.189, 0.456, 0.492
0.114, 6.345, 0.341, 0.409, 1.832, 0.833, 0.267
0.252, 3.899, 0.326, 0.612, 4.032, 0.734, 0.14
0.419, 4.314, 0.465, 0.809, 5.513, 0.619, 0.4
0.33, 4.537, 0.212, 0.726, 6.093, 0.689, 0.161
0.801, 3.294, 0.659, 0.839, 7.399, 0.5, 0.271
0.775, 3.787, 0.758, 0.708, 6.098, 0.498, 0.275
0.109, 5.467, 0.269, 0.267, 1.505, 0.839, 0.365
1.317, 3.871, 1.067, 0.863, 5.545, 0.383, 0.439
0.162, 5.829, 0.176, 0.447, 1.917, 0.852, 0.397
0.795, 4.438, 0.627, 0.925, 8.162, 0.489, 0.319
0.509, 4.107, 0.571, 0.574, 3.849, 0.615, 0.471
0.911, 3.633, 0.536, 1.005, 9.398, 0.469, 0.488
0.411, 3.479, 0.232, 1.025, 8.812, 0.662, 0.292
0.218, 3.808, 0.383, 0.506, 2.812, 0.768, 0.125
0.369, 3.791, 0.275, 0.741, 5.761, 0.669, 0.183
0.305, 3.658, 0.425, 0.555, 3.145, 0.691, 0.392
0.621, 3.626, 0.412, 0.899, 9.603, 0.555, 0.426
0.805, 4.767, 0.678, 0.942, 8.265, 0.463, 0.338
0.417, 3.312, 0.11, 0.972, 8.015, 0.685, 0.491
0.728, 3.905, 0.473, 0.883, 8.404, 0.529, 0.281
0.483, 4.387, 0.251, 0.827, 7.405, 0.626, 0.125
0.606, 3.419, 0.415, 0.796, 6.528, 0.58, 0.478
0.363, 4.129, 0.395, 0.921, 6.71, 0.672, 0.062
0.407, 4.142, 0.447, 0.798, 5.687, 0.638, 0.366
0.377, 3.766, 0.478, 0.72, 6.064, 0.633, 0.033
0.42, 3.79, 0.566, 0.834, 5.38, 0.626, 0.369
0.733, 3.804, 0.49, 0.695, 6.275, 0.515, 0.482
0.223, 5.443, 0.154, 0.41, 2.194, 0.832, 0.206
1.714, 4.109, 0.863, 0.843, 7.667, 0.321, 0.499
1.794, 4.098, 0.988, 0.711, 4.848, 0.317, 0.309
0.23, 5.659, 0.308, 0.416, 2.247, 0.78, 0.369
0.114, 7.08, 0.152, 0.482, 1.66, 0.863, 0.32
1.359, 3.504, 0.756, 0.956, 8.68, 0.382, 0.387
0.935, 3.638, 0.68, 0.952, 9.027, 0.452, 0.417
0.304, 4.56, 0.416, 0.709, 4.645, 0.687, 0.294
0.089, 7.708, 0.175, 0.457, 1.656, 0.889, 0.365
1.732, 4.807, 0.989, 0.762, 6.178, 0.316, 0.108
0.498, 4.175, 0.22, 0.858, 7.394, 0.613, 0.129
0.306, 5.346, 0.651, 0.469, 2.392, 0.691, 0.49
0.913, 3.472, 0.64, 0.936, 7.036, 0.506, 0.48
0.255, 4.27, 0.524, 0.63, 3.146, 0.705, 0.027
1.639, 4.624, 0.931, 0.9, 8.68, 0.327, 0.028
1.172, 3.581, 1.027, 0.713, 4.413, 0.385, 0.289
0.559, 3.694, 0.522, 0.699, 4.523, 0.598, 0.187
0.238, 4.612, 0.322, 0.494, 1.876, 0.807, 0.441
