# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.1791, 5.1470, 0.2931, 0.5684, 0.5505, 0.2486
0.051, 3.526, 0.164, 0.654, 0.642, 0.265
0.089, 4.118, 0.344, 0.527, 0.59, 0.146
0.136, 3.608, 0.47, 0.685, 0.616, 0.436
0.096, 4.221, 0.31, 0.602, 0.604, 0.251
0.059, 4.165, 0.285, 0.631, 0.613, 0.281
0.075, 3.764, 0.357, 0.615, 0.603, 0.34
0.113, 3.512, 0.273, 0.546, 0.598, 0.441
0.138, 3.607, 0.588, 0.488, 0.554, 0.375
0.066, 3.958, 0.188, 0.566, 0.611, 0.233
0.064, 3.644, 0.32, 0.423, 0.598, 0.364
0.112, 3.992, 0.27, 0.544, 0.627, 0.002
0.142, 3.596, 0.36, 0.629, 0.593, 0.256
0.113, 4.228, 0.288, 0.554, 0.609, 0.208
0.087, 3.842, 0.34, 0.463, 0.585, 0.455
0.103, 3.497, 0.403, 0.7, 0.602, 0.427
0.059, 3.617, 0.311, 0.611, 0.592, 0.139
0.115, 5.249, 0.333, 0.6, 0.6, 0.126
0.1, 3.176, 0.355, 0.822, 0.627, 0.374
0.112, 3.728, 0.465, 0.665, 0.587, 0.222
0.07, 3.229, 0.227, 0.629, 0.621, 0.265
0.103, 3.414, 0.347, 0.625, 0.631, 0.488
0.146, 4.493, 0.44, 0.592, 0.552, 0.092
0.167, 4.175, 0.344, 0.55, 0.582, 0.473
0.071, 3.911, 0.15, 0.641, 0.637, 0.432
0.059, 4.297, 0.193, 0.425, 0.614, 0.233
0.053, 3.675, 0.24, 0.635, 0.601, 0.327
0.083, 3.513, 0.367, 0.506, 0.593, 0.166
0.061, 3.282, 0.194, 0.535, 0.629, 0.465
0.057, 3.241, 0.356, 0.58, 0.61, 0.433
0.101, 4.036, 0.205, 0.542, 0.623, 0.272
0.105, 4.165, 0.291, 0.6, 0.598, 0.182
0.056, 3.859, 0.201, 0.56, 0.607, 0.069
0.123, 4.296, 0.42, 0.435, 0.573, 0.124
