# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.193, 4.537, 0.216, 0.705, 0.808, 0.065
0.242, 4.71, 0.243, 0.376, 0.741, 0.367
0.208, 4.399, 0.27, 0.652, 0.766, 0.461
0.931, 4.503, 1.037, 0.642, 0.483, 0.047
0.191, 4.02, 0.329, 0.575, 0.806, 0.069
0.279, 3.38, 0.304, 0.745, 0.761, 0.452
0.143, 4.012, 0.152, 0.489, 0.829, 0.27
0.241, 3.643, 0.463, 0.753, 0.768, 0.33
0.385, 4.198, 0.616, 0.659, 0.669, 0.294
0.233, 4.521, 0.407, 0.63, 0.743, 0.41
0.229, 4.342, 0.25, 0.631, 0.791, 0.292
0.138, 5.305, 0.121, 0.492, 0.811, 0.078
0.193, 4.254, 0.423, 0.543, 0.759, 0.283
0.201, 4.0, 0.181, 0.657, 0.798, 0.169
0.147, 4.609, 0.198, 0.661, 0.824, 0.019
0.267, 5.059, 0.147, 0.44, 0.745, 0.326
0.236, 4.451, 0.41, 0.483, 0.721, 0.496
0.245, 4.306, 0.337, 0.729, 0.774, 0.315
0.322, 5.184, 0.484, 0.519, 0.689, 0.492
0.305, 4.999, 0.445, 0.428, 0.688, 0.087
0.275, 4.139, 0.451, 0.532, 0.71, 0.289
0.139, 4.93, 0.276, 0.53, 0.817, 0.132
0.849, 4.467, 0.961, 0.636, 0.517, 0.1
0.146, 4.636, 0.203, 0.665, 0.824, 0.023
0.149, 4.82, 0.22, 0.52, 0.78, 0.14
0.297, 4.112, 0.384, 0.581, 0.732, 0.499
0.239, 4.058, 0.147, 0.506, 0.784, 0.409
0.194, 4.315, 0.336, 0.583, 0.765, 0.063
1.129, 4.152, 1.251, 0.653, 0.408, 0.016
0.23, 4.264, 0.56, 0.626, 0.741, 0.025
0.293, 4.568, 0.262, 0.402, 0.723, 0.416
0.238, 4.382, 0.285, 0.495, 0.759, 0.143
0.197, 4.496, 0.344, 0.491, 0.763, 0.364
0.278, 3.934, 0.453, 0.627, 0.72, 0.24
0.739, 4.818, 0.929, 0.582, 0.508, 0.326
0.264, 5.281, 0.412, 0.553, 0.718, 0.159
0.39, 4.589, 0.545, 0.365, 0.652, 0.456
0.269, 5.113, 0.282, 0.401, 0.754, 0.11
0.297, 4.694, 0.293, 0.512, 0.726, 0.381
0.206, 4.094, 0.185, 0.514, 0.806, 0.36
0.201, 4.39, 0.177, 0.443, 0.784, 0.02
0.194, 4.161, 0.337, 0.537, 0.758, 0.288
0.324, 5.471, 0.252, 0.479, 0.714, 0.193
0.301, 4.857, 0.26, 0.544, 0.733, 0.301
0.291, 3.996, 0.663, 0.664, 0.724, 0.125
0.312, 4.36, 0.548, 0.569, 0.678, 0.357
0.286, 4.058, 0.292, 0.494, 0.73, 0.452
0.202, 4.217, 0.338, 0.565, 0.761, 0.365
0.291, 4.476, 0.401, 0.677, 0.718, 0.416
0.217, 4.505, 0.257, 0.586, 0.761, 0.353
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.242, 4.656, 0.192, 0.448, 0.738, 0.289
0.176, 4.114, 0.432, 0.497, 0.761, 0.233
0.258, 4.815, 0.467, 0.664, 0.702, 0.102
0.172, 4.312, 0.397, 0.539, 0.77, 0.278
0.201, 3.955, 0.321, 0.522, 0.792, 0.153
0.277, 4.127, 0.289, 0.555, 0.751, 0.337
0.232, 3.645, 0.211, 0.492, 0.757, 0.457
0.234, 4.561, 0.383, 0.436, 0.745, 0.27
0.174, 4.169, 0.316, 0.598, 0.772, 0.012
0.314, 4.661, 0.351, 0.552, 0.71, 0.284
0.206, 4.484, 0.222, 0.461, 0.766, 0.33
0.172, 3.91, 0.197, 0.633, 0.798, 0.161
0.181, 3.824, 0.327, 0.706, 0.783, 0.191
0.866, 3.598, 1.12, 0.699, 0.499, 0.472
0.22, 4.647, 0.181, 0.558, 0.792, 0.298
0.238, 4.19, 0.333, 0.501, 0.742, 0.352
0.219, 4.245, 0.477, 0.558, 0.75, 0.198
0.174, 4.601, 0.308, 0.502, 0.753, 0.085
0.22, 4.647, 0.181, 0.558, 0.792, 0.298
0.212, 4.362, 0.173, 0.565, 0.804, 0.236
0.259, 4.499, 0.287, 0.6, 0.752, 0.457
0.277, 4.946, 0.489, 0.49, 0.712, 0.322
0.197, 4.233, 0.218, 0.699, 0.782, 0.036
0.295, 3.742, 0.245, 0.66, 0.757, 0.402
0.309, 4.686, 0.375, 0.592, 0.702, 0.316
0.301, 4.566, 0.509, 0.626, 0.695, 0.271
0.157, 4.933, 0.157, 0.437, 0.803, 0.15
0.182, 4.589, 0.311, 0.561, 0.795, 0.023
0.271, 4.139, 0.303, 0.669, 0.756, 0.253
0.22, 4.311, 0.367, 0.72, 0.76, 0.41
0.139, 4.93, 0.276, 0.53, 0.817, 0.132
0.15, 4.867, 0.254, 0.512, 0.782, 0.287
0.29, 4.195, 0.352, 0.571, 0.732, 0.412
0.345, 3.763, 0.519, 0.651, 0.696, 0.434
0.257, 5.564, 0.328, 0.519, 0.738, 0.235
0.256, 4.13, 0.231, 0.558, 0.767, 0.436
0.374, 4.652, 0.582, 0.55, 0.651, 0.383
0.109, 4.67, 0.235, 0.504, 0.786, 0.285
0.459, 4.305, 0.564, 0.674, 0.658, 0.493
0.214, 4.602, 0.358, 0.482, 0.741, 0.453
0.206, 4.094, 0.185, 0.514, 0.806, 0.36
0.224, 4.47, 0.19, 0.67, 0.789, 0.468
0.304, 3.343, 0.335, 0.729, 0.745, 0.454
0.274, 4.162, 0.403, 0.622, 0.735, 0.327
0.191, 4.336, 0.336, 0.585, 0.766, 0.054
0.239, 4.931, 0.419, 0.583, 0.735, 0.345
0.305, 4.999, 0.445, 0.428, 0.688, 0.087
0.223, 4.284, 0.344, 0.582, 0.771, 0.248
0.334, 4.293, 0.626, 0.506, 0.681, 0.201
0.224, 4.47, 0.19, 0.67, 0.789, 0.468
0.158, 4.981, 0.218, 0.55, 0.819, 0.342
0.289, 4.404, 0.345, 0.516, 0.725, 0.235
0.292, 4.807, 0.45, 0.638, 0.72, 0.127
0.35, 3.58, 0.636, 0.717, 0.659, 0.478
0.365, 4.976, 0.532, 0.546, 0.684, 0.151
0.256, 4.912, 0.465, 0.599, 0.724, 0.318
0.349, 4.871, 0.334, 0.52, 0.693, 0.337
0.288, 4.895, 0.433, 0.642, 0.726, 0.115
0.247, 4.416, 0.269, 0.397, 0.746, 0.432
0.189, 4.232, 0.259, 0.528, 0.75, 0.471
0.195, 3.889, 0.288, 0.727, 0.786, 0.476
0.335, 4.225, 0.411, 0.503, 0.707, 0.441
0.284, 4.889, 0.379, 0.492, 0.724, 0.28
0.151, 4.299, 0.267, 0.606, 0.832, 0.034
0.219, 4.162, 0.211, 0.693, 0.814, 0.134
0.28, 3.847, 0.308, 0.852, 0.787, 0.331
0.237, 5.378, 0.382, 0.534, 0.734, 0.419
0.214, 4.364, 0.164, 0.451, 0.8, 0.352
0.393, 4.191, 0.627, 0.662, 0.666, 0.293
0.187, 4.551, 0.281, 0.582, 0.763, 0.205
0.157, 4.297, 0.157, 0.677, 0.792, 0.469
0.258, 5.568, 0.328, 0.519, 0.738, 0.236
0.202, 5.026, 0.323, 0.421, 0.763, 0.379
0.185, 4.144, 0.159, 0.708, 0.845, 0.082
0.181, 5.29, 0.279, 0.444, 0.756, 0.397
0.206, 4.85, 0.254, 0.543, 0.761, 0.355
0.294, 4.764, 0.333, 0.456, 0.724, 0.351
0.213, 3.957, 0.235, 0.584, 0.8, 0.386
0.393, 4.299, 0.626, 0.593, 0.669, 0.429
0.133, 4.099, 0.25, 0.631, 0.8, 0.189
0.36, 4.748, 0.482, 0.711, 0.695, 0.239
0.203, 4.459, 0.197, 0.617, 0.831, 0.022
0.54, 3.79, 0.902, 0.578, 0.59, 0.419
0.206, 4.785, 0.114, 0.383, 0.799, 0.237
0.245, 4.364, 0.269, 0.471, 0.751, 0.162
0.355, 3.804, 0.581, 0.613, 0.675, 0.288
0.333, 4.228, 0.476, 0.607, 0.707, 0.364
0.154, 4.288, 0.198, 0.572, 0.839, 0.115
0.195, 4.901, 0.192, 0.42, 0.787, 0.452
0.362, 3.824, 0.502, 0.801, 0.699, 0.305
0.229, 4.197, 0.468, 0.614, 0.752, 0.088
0.274, 5.032, 0.463, 0.5, 0.719, 0.249
0.351, 4.462, 0.576, 0.616, 0.679, 0.326
0.26, 5.105, 0.354, 0.486, 0.728, 0.191
0.607, 4.152, 0.865, 0.676, 0.566, 0.319
0.36, 3.527, 0.465, 0.658, 0.711, 0.333
0.29, 4.13, 0.282, 0.473, 0.745, 0.367
0.258, 4.484, 0.272, 0.593, 0.753, 0.492
0.175, 4.08, 0.203, 0.689, 0.845, 0.492
